"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","colorPicker()","","Mon Mar 02 17:20:53 UTC 2026","broken","Mon Mar 02 17:20:53 UTC 2026","","tests.seleniumV1.Chapter4AnywayLocators","tests.seleniumV1.Chapter4AnywayLocators","colorPicker"
"","198","Open Get user media page","","Mon Mar 02 17:21:02 UTC 2026","broken","Mon Mar 02 17:21:02 UTC 2026","","Chapter 5: Browser-Specific Manipulation","tests.seleniumV1.Chapter5BrowserSpecificManipulationTests","openGetUserMediaPage"
"","201","Title2Cookies","","Mon Mar 02 17:20:56 UTC 2026","broken","Mon Mar 02 17:20:56 UTC 2026","","tests.seleniumV1.Chapter4Cookies","tests.seleniumV1.Chapter4Cookies","titleTest2"
"","199","Open Notifications page","","Mon Mar 02 17:21:02 UTC 2026","broken","Mon Mar 02 17:21:02 UTC 2026","","Chapter 5: Browser-Specific Manipulation","tests.seleniumV1.Chapter5BrowserSpecificManipulationTests","openNotificationsPage"
"","6","Check Slow calculator page","","Mon Mar 02 17:21:12 UTC 2026","broken","Mon Mar 02 17:21:12 UTC 2026","","tests.seleniumV2.SlowCalculatorTests","tests.seleniumV2.SlowCalculatorTests","openSlowCalculatorTest"
"","482","Add superhero with null phone and check status code, data","","Mon Mar 02 17:20:44 UTC 2026","passed","Mon Mar 02 17:20:45 UTC 2026","","tests.API.TestSuperheroes","tests.API.TestSuperheroes","postSuperheroWithDataCheckTest"
"","197","FirstApartLoremIpsum","","Mon Mar 02 17:20:57 UTC 2026","broken","Mon Mar 02 17:20:58 UTC 2026","","tests.seleniumV1.Chapter4DialogBoxes","tests.seleniumV1.Chapter4DialogBoxes","alertModal"
"","561","Try to add superhero using invalid path","","Mon Mar 02 17:20:43 UTC 2026","passed","Mon Mar 02 17:20:43 UTC 2026","","tests.API.TestSuperheroes","tests.API.TestSuperheroes","postSuperheroWithNotValidPathTest"
"","202","displayCookies()","","Mon Mar 02 17:20:56 UTC 2026","broken","Mon Mar 02 17:20:56 UTC 2026","","tests.seleniumV1.Chapter4Cookies","tests.seleniumV1.Chapter4Cookies","displayCookies"
"","0","PlaywrightTestsV1","","Mon Mar 02 17:20:47 UTC 2026","broken","Mon Mar 02 17:20:47 UTC 2026","","tests.playwrightV1.PlaywrightTestsV1","tests.playwrightV1.PlaywrightTestsV1",""
"","214","testWebFormLink()","","Mon Mar 02 17:20:50 UTC 2026","broken","Mon Mar 02 17:20:50 UTC 2026","","tests.seleniumV1.Chapter3LinksValidationTest","tests.seleniumV1.Chapter3LinksValidationTest","testWebFormLink"
"","6","Check IFrames page","","Mon Mar 02 17:21:12 UTC 2026","broken","Mon Mar 02 17:21:12 UTC 2026","","tests.seleniumV2.IFrameTests","tests.seleniumV2.IFrameTests","openIFramesTest"
"","615","Должен успешно загрузить файл","","Mon Mar 02 17:21:10 UTC 2026","broken","Mon Mar 02 17:21:11 UTC 2026","","WebFormTests","tests.seleniumV1.SeleniumActionTests","shouldUploadFileSuccessfully"
