"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","FirstApartLoremIpsum","","Mon Mar 02 17:11:28 UTC 2026","broken","Mon Mar 02 17:11:28 UTC 2026","","tests.seleniumV1.Chapter4ShadowDom","tests.seleniumV1.Chapter4ShadowDom","shadowDomFinal"
"","751","openWebFormPageTest()","","Mon Mar 02 17:11:06 UTC 2026","passed","Mon Mar 02 17:11:06 UTC 2026","","tests.playwrightV2.PlaywrightTestsV2","tests.playwrightV2.PlaywrightTestsV2","openWebFormPageTest"
"","360","shouldClickButton()","","Mon Mar 02 17:10:57 UTC 2026","broken","Mon Mar 02 17:10:57 UTC 2026","","tests.playwrightV1.PlaywrightTestsV1","tests.playwrightV1.PlaywrightTestsV1","shouldClickButton"
"","419","Add superhero with not null phone and check status code and data","","Mon Mar 02 17:10:28 UTC 2026","passed","Mon Mar 02 17:10:28 UTC 2026","","tests.API.TestSuperheroes","tests.API.TestSuperheroes","postSuperheroWithPhoneTest"
"","176","Open Get user media page","","Mon Mar 02 17:11:28 UTC 2026","broken","Mon Mar 02 17:11:29 UTC 2026","","Chapter 5: Browser-Specific Manipulation","tests.seleniumV1.Chapter5BrowserSpecificManipulationTests","openGetUserMediaPage"
"","177","Open Download Files page","","Mon Mar 02 17:11:30 UTC 2026","broken","Mon Mar 02 17:11:30 UTC 2026","","Chapter 9: Third-Party Integrations","tests.seleniumV1.Chapter9ThirdPartyIntegrationsTests","openDownloadFilesPage"
"","1538","Check Infinite scroll page","","Mon Mar 02 17:12:04 UTC 2026","broken","Mon Mar 02 17:12:05 UTC 2026","","tests.seleniumV2.InfiniteScrollTests","tests.seleniumV2.InfiniteScrollTests","openInfiniteScrollTest"
"","1551","Check Mouse over page","","Mon Mar 02 17:12:09 UTC 2026","broken","Mon Mar 02 17:12:11 UTC 2026","","tests.seleniumV2.MouseOverTests","tests.seleniumV2.MouseOverTests","openMouseOverTest"
"","178","Open A/B Testing page","","Mon Mar 02 17:11:30 UTC 2026","broken","Mon Mar 02 17:11:30 UTC 2026","","Chapter 9: Third-Party Integrations","tests.seleniumV1.Chapter9ThirdPartyIntegrationsTests","openABTestingPage"
"","203","openHomePageTest()","","Mon Mar 02 17:11:18 UTC 2026","broken","Mon Mar 02 17:11:19 UTC 2026","","Chapter 3: WebDriver Fundamentals","tests.seleniumV1.Chapter3WebDriverFundamentalsTests","openHomePageTest"
"","1563","Check Dialog Boxes page","","Mon Mar 02 17:11:50 UTC 2026","broken","Mon Mar 02 17:11:52 UTC 2026","","tests.seleniumV2.DialogBoxesTests","tests.seleniumV2.DialogBoxesTests","openDialogBoxesTest"
