"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","213","Slow calculator","","Mon Mar 02 17:11:00 UTC 2026","broken","Mon Mar 02 17:11:00 UTC 2026","","Chapter 3: WebDriver Fundamentals","tests.seleniumV1.Chapter3WebDriverFundamentalsTests","openSlowCalculatorPage"
"","206","Open IFrames","","Mon Mar 02 17:11:05 UTC 2026","broken","Mon Mar 02 17:11:06 UTC 2026","","Chapter 4: Browser-Agnostic Features","tests.seleniumV1.Chapter4BrowserAgnosticFeaturesTests","openIFrames"
"","326","Add superhero with null phone and check status code, data","","Mon Mar 02 17:10:18 UTC 2026","passed","Mon Mar 02 17:10:19 UTC 2026","","tests.API.TestSuperheroes","tests.API.TestSuperheroes","postSuperheroWithDataCheckTest"
"","204","Open Console logs page","","Mon Mar 02 17:11:13 UTC 2026","broken","Mon Mar 02 17:11:13 UTC 2026","","Chapter 5: Browser-Specific Manipulation","tests.seleniumV1.Chapter5BrowserSpecificManipulationTests","openConsoleLogsPage"
"","337","Try to add superhero using invalid path","","Mon Mar 02 17:10:17 UTC 2026","passed","Mon Mar 02 17:10:18 UTC 2026","","tests.API.TestSuperheroes","tests.API.TestSuperheroes","postSuperheroWithNotValidPathTest"
"","1564","Check Dropdown menu page","","Mon Mar 02 17:11:35 UTC 2026","broken","Mon Mar 02 17:11:36 UTC 2026","","tests.seleniumV2.DropdownMenuTests","tests.seleniumV2.DropdownMenuTests","openDropdownMenuTest"
"","208","Title2ShadowDOM","","Mon Mar 02 17:11:12 UTC 2026","broken","Mon Mar 02 17:11:13 UTC 2026","","tests.seleniumV1.Chapter4ShadowDom","tests.seleniumV1.Chapter4ShadowDom","titleTest2"
"","205","FirstApart - P","","Mon Mar 02 17:11:10 UTC 2026","broken","Mon Mar 02 17:11:10 UTC 2026","","tests.seleniumV1.Chapter4InfiniteScroll","tests.seleniumV1.Chapter4InfiniteScroll","firstApart"
"","617","Должен получить и проверить свойства цвета CSS","","Mon Mar 02 17:11:21 UTC 2026","failed","Mon Mar 02 17:11:22 UTC 2026","","WebFormTests","tests.seleniumV1.SeleniumActionTests","shouldRetrieveAndValidateCssColorProperties"
"","213","Open Geolocation page","","Mon Mar 02 17:11:13 UTC 2026","broken","Mon Mar 02 17:11:14 UTC 2026","","Chapter 5: Browser-Specific Manipulation","tests.seleniumV1.Chapter5BrowserSpecificManipulationTests","openGeolocationPage"
"","1542","Check Shadow DOM page","","Mon Mar 02 17:11:55 UTC 2026","broken","Mon Mar 02 17:11:57 UTC 2026","","tests.seleniumV2.ShadowDOMTests","tests.seleniumV2.ShadowDOMTests","openShadowDOMTest"
